"Plot Title:  16_12_2020"
"#","Date Time, GMT+00:00","Temp, °F (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
101,12/16/20 07:00:36 pm,72.912,51.363,,,,,
102,12/16/20 07:00:37 pm,72.869,51.391,,,,,
103,12/16/20 07:00:38 pm,72.869,51.423,,,,,
104,12/16/20 07:00:39 pm,72.869,51.454,,,,,
105,12/16/20 07:00:40 pm,72.826,51.514,,,,,
106,12/16/20 07:00:41 pm,72.826,51.545,,,,,
107,12/16/20 07:00:42 pm,72.783,51.605,,,,,
108,12/16/20 07:00:43 pm,72.783,51.637,,,,,
109,12/16/20 07:00:44 pm,72.783,51.700,,,,,
110,12/16/20 07:00:45 pm,72.739,51.696,,,,,
111,12/16/20 07:00:46 pm,72.696,51.756,,,,,
112,12/16/20 07:00:47 pm,72.696,51.819,,,,,
113,12/16/20 07:00:48 pm,72.696,51.819,,,,,
114,12/16/20 07:00:49 pm,72.653,51.878,,,,,
115,12/16/20 07:00:50 pm,72.653,51.910,,,,,
116,12/16/20 07:00:51 pm,72.610,51.969,,,,,
117,12/16/20 07:00:52 pm,72.610,52.001,,,,,
118,12/16/20 07:00:53 pm,72.610,52.032,,,,,
119,12/16/20 07:00:54 pm,72.567,52.060,,,,,
120,12/16/20 07:00:55 pm,72.523,52.088,,,,,
121,12/16/20 07:00:56 pm,72.523,52.120,,,,,
122,12/16/20 07:00:57 pm,72.523,52.183,,,,,
123,12/16/20 07:00:58 pm,72.480,52.242,,,,,
124,12/16/20 07:00:59 pm,72.480,52.242,,,,,
125,12/16/20 07:01:00 pm,72.437,52.333,,,,,
126,12/16/20 07:01:01 pm,72.437,52.333,,,,,
127,12/16/20 07:01:02 pm,72.437,52.364,,,,,
128,12/16/20 07:01:03 pm,72.394,52.424,,,,,
129,12/16/20 07:01:04 pm,72.351,52.421,,,,,
130,12/16/20 07:01:05 pm,72.351,52.483,,,,,
131,12/16/20 07:01:06 pm,72.351,52.515,,,,,
132,12/16/20 07:01:07 pm,72.351,52.546,,,,,
133,12/16/20 07:01:08 pm,72.307,52.605,,,,,
134,12/16/20 07:01:09 pm,72.264,52.602,,,,,
135,12/16/20 07:01:10 pm,72.264,52.633,,,,,
136,12/16/20 07:01:11 pm,72.264,52.696,,,,,
137,12/16/20 07:01:12 pm,72.221,52.693,,,,,
138,12/16/20 07:01:13 pm,72.221,52.755,,,,,
139,12/16/20 07:01:14 pm,72.178,52.752,,,,,
140,12/16/20 07:01:15 pm,72.178,52.783,,,,,
141,12/16/20 07:01:16 pm,72.178,52.846,,,,,
142,12/16/20 07:01:17 pm,72.178,52.877,,,,,
143,12/16/20 07:01:18 pm,72.136,52.905,,,,,
144,12/16/20 07:01:19 pm,72.136,52.937,,,,,
145,12/16/20 07:01:20 pm,72.093,52.965,,,,,
146,12/16/20 07:01:21 pm,72.093,52.996,,,,,
147,12/16/20 07:01:22 pm,72.093,53.027,,,,,
148,12/16/20 07:01:23 pm,72.050,53.055,,,,,
149,12/16/20 07:01:24 pm,72.050,53.086,,,,,
150,12/16/20 07:01:25 pm,72.007,53.114,,,,,
151,12/16/20 07:01:26 pm,72.007,53.146,,,,,
152,12/16/20 07:01:27 pm,72.007,53.177,,,,,
153,12/16/20 07:01:28 pm,71.964,53.236,,,,,
154,12/16/20 07:01:29 pm,71.920,53.233,,,,,
155,12/16/20 07:01:30 pm,71.920,53.264,,,,,
156,12/16/20 07:01:31 pm,71.920,53.295,,,,,
157,12/16/20 07:01:32 pm,71.877,53.323,,,,,
158,12/16/20 07:01:33 pm,71.834,53.351,,,,,
159,12/16/20 07:01:34 pm,71.834,53.351,,,,,
160,12/16/20 07:01:35 pm,71.834,53.382,,,,,
161,12/16/20 07:01:36 pm,71.791,53.410,,,,,
162,12/16/20 07:01:37 pm,71.791,53.410,,,,,
163,12/16/20 07:01:38 pm,71.748,53.438,,,,,
164,12/16/20 07:01:39 pm,71.748,53.469,,,,,
165,12/16/20 07:01:40 pm,71.748,53.500,,,,,
