"Plot Title:  10570397"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","DewPt, °C (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
88,07/25/19 07:18:10 pm,29.290,55.408,19.753,,,,,
89,07/25/19 07:18:11 pm,29.290,55.377,19.744,,,,,
90,07/25/19 07:18:12 pm,29.290,55.345,19.735,,,,,
91,07/25/19 07:18:13 pm,29.290,55.313,19.726,,,,,
92,07/25/19 07:18:14 pm,29.290,55.313,19.726,,,,,
93,07/25/19 07:18:15 pm,29.290,55.282,19.717,,,,,
94,07/25/19 07:18:16 pm,29.290,55.377,19.744,,,,,
95,07/25/19 07:18:17 pm,29.290,55.472,19.771,,,,,
96,07/25/19 07:18:18 pm,29.290,55.567,19.798,,,,,
97,07/25/19 07:18:19 pm,29.290,55.599,19.807,,,,,
98,07/25/19 07:18:20 pm,29.265,55.595,19.782,,,,,
99,07/25/19 07:18:21 pm,29.265,55.627,19.791,,,,,
100,07/25/19 07:18:22 pm,29.265,55.595,19.782,,,,,
101,07/25/19 07:18:23 pm,29.265,55.563,19.774,,,,,
102,07/25/19 07:18:24 pm,29.265,55.595,19.782,,,,,
103,07/25/19 07:18:25 pm,29.265,55.563,19.774,,,,,
104,07/25/19 07:18:26 pm,29.265,55.563,19.774,,,,,
105,07/25/19 07:18:27 pm,29.265,55.532,19.765,,,,,
106,07/25/19 07:18:28 pm,29.265,55.500,19.756,,,,,
107,07/25/19 07:18:29 pm,29.265,55.468,19.747,,,,,
108,07/25/19 07:18:30 pm,29.265,55.468,19.747,,,,,
109,07/25/19 07:18:31 pm,29.265,55.437,19.738,,,,,
110,07/25/19 07:18:32 pm,29.265,55.468,19.747,,,,,
111,07/25/19 07:18:33 pm,29.265,55.659,19.800,,,,,
112,07/25/19 07:18:34 pm,29.265,55.849,19.854,,,,,
113,07/25/19 07:18:35 pm,29.265,56.070,19.916,,,,,
114,07/25/19 07:18:36 pm,29.265,56.197,19.952,,,,,
115,07/25/19 07:18:37 pm,29.290,56.232,19.985,,,,,
116,07/25/19 07:18:38 pm,29.290,56.169,19.967,,,,,
117,07/25/19 07:18:39 pm,29.290,56.169,19.967,,,,,
118,07/25/19 07:18:40 pm,29.290,56.137,19.958,,,,,
119,07/25/19 07:18:41 pm,29.290,56.105,19.950,,,,,
120,07/25/19 07:18:42 pm,29.315,56.109,19.974,,,,,
121,07/25/19 07:18:43 pm,29.315,56.046,19.956,,,,,
122,07/25/19 07:18:44 pm,29.315,56.014,19.947,,,,,
123,07/25/19 07:18:45 pm,29.340,55.954,19.954,,,,,
124,07/25/19 07:18:46 pm,29.340,55.923,19.945,,,,,
125,07/25/19 07:18:47 pm,29.340,55.923,19.945,,,,,
126,07/25/19 07:18:48 pm,29.340,55.891,19.936,,,,,
127,07/25/19 07:18:49 pm,29.340,55.859,19.927,,,,,
128,07/25/19 07:18:50 pm,29.340,55.828,19.918,,,,,
129,07/25/19 07:18:51 pm,29.340,55.796,19.909,,,,,
130,07/25/19 07:18:52 pm,29.340,55.733,19.891,,,,,
131,07/25/19 07:18:53 pm,29.340,55.669,19.873,,,,,
132,07/25/19 07:18:54 pm,29.340,55.606,19.855,,,,,
133,07/25/19 07:18:55 pm,29.340,55.543,19.837,,,,,
134,07/25/19 07:18:56 pm,29.340,55.447,19.810,,,,,
135,07/25/19 07:18:57 pm,29.340,55.416,19.801,,,,,
136,07/25/19 07:18:58 pm,29.340,55.352,19.783,,,,,
137,07/25/19 07:18:59 pm,29.340,55.352,19.783,,,,,
138,07/25/19 07:19:00 pm,29.340,55.320,19.774,,,,,
139,07/25/19 07:19:01 pm,29.365,55.324,19.799,,,,,
