Time,lat,lon,T,rh
2020-12-16 19:10:37,38.24308374074072,21.73350125925926,64.033,56.516999999999996
2020-12-16 19:10:38,38.2430856,21.733500600000006,64.033,56.578
2020-12-16 19:10:39,38.24308600000001,21.7335045,63.99,56.665
2020-12-16 19:10:40,38.243087833333306,21.733506666666663,63.946000000000005,56.723
2020-12-16 19:10:41,38.24308866666666,21.733507999999997,63.903,56.78
2020-12-16 19:10:42,38.24309166666669,21.73351233333334,63.861999999999995,56.868
2020-12-16 19:10:43,38.24309900000001,21.733519,63.861999999999995,56.928999999999995
2020-12-16 19:10:44,38.24310646666667,21.733522999999995,63.818999999999996,56.986000000000004
2020-12-16 19:10:45,38.243104,21.733522666666662,63.775,57.104
2020-12-16 19:10:46,38.24310366666668,21.73352233333333,63.732,57.131
2020-12-16 19:10:47,38.243109000000004,21.733519666666666,63.68899999999999,57.188
2020-12-16 19:10:48,38.24311719999999,21.733510600000013,63.604,57.242
2020-12-16 19:10:49,38.243124,21.733494999999994,63.56100000000001,57.299
2020-12-16 19:10:50,38.243120999999995,21.73346960000001,63.475,57.353
2020-12-16 19:10:51,38.243132999999986,21.733449666666658,63.433,57.379
2020-12-16 19:10:52,38.243147000000015,21.733428333333332,63.347,57.433
2020-12-16 19:10:53,38.243160666666654,21.73340666666666,63.262,57.426
2020-12-16 19:10:54,38.2431753,21.733381599999984,63.176,57.449
2020-12-16 19:10:55,38.24318766666668,21.73335233333334,63.09,57.472
2020-12-16 19:10:56,38.24320030000001,21.733323999999996,63.005,57.525
2020-12-16 19:10:57,38.24321386206897,21.73329334482759,62.919,57.518
2020-12-16 19:10:58,38.24323190000002,21.733266599999997,62.833999999999996,57.541000000000004
2020-12-16 19:10:59,38.243252666666656,21.733239666666655,62.748000000000005,57.56399999999999
2020-12-16 19:11:00,38.24326299999999,21.733214333333343,62.661,57.586999999999996
2020-12-16 19:11:01,38.243259999999985,21.733176000000014,62.577,57.61
2020-12-16 19:11:02,38.24324733333333,21.733129000000005,62.49,57.633
2020-12-16 19:11:03,38.2432399,21.73309310000001,62.406000000000006,57.68600000000001
2020-12-16 19:11:04,38.243230666666676,21.73305999999999,62.318999999999996,57.708999999999996
2020-12-16 19:11:05,38.24321566666665,21.733031666666673,62.233000000000004,57.732
2020-12-16 19:11:06,38.243197666666674,21.733004000000005,62.148,57.785
2020-12-16 19:11:07,38.24318233333334,21.732970333333324,62.105,57.842
2020-12-16 19:11:08,38.243168499999996,21.7329338,62.019,57.895
2020-12-16 19:11:09,38.24315320000001,21.732891599999995,61.934,57.948
2020-12-16 19:11:10,38.243134500000004,21.73285510000001,61.848,57.971000000000004
2020-12-16 19:11:11,38.24310679999999,21.732823900000007,61.803999999999995,58.088
2020-12-16 19:11:12,38.24307669999999,21.732795999999983,61.72,58.141000000000005
2020-12-16 19:11:13,38.24305672413794,21.732765689655178,61.633,58.255
2020-12-16 19:11:14,38.24303900000002,21.732738400000002,61.547,58.338
2020-12-16 19:11:15,38.243018400000004,21.732717600000008,61.461999999999996,58.42100000000001
2020-12-16 19:11:16,38.242991,21.732697499999997,61.376000000000005,58.534
2020-12-16 19:11:17,38.24295670000002,21.73267190000001,61.29,58.647
2020-12-16 19:11:18,38.24293466666665,21.73264533333333,61.205,58.73
2020-12-16 19:11:19,38.242913400000006,21.7326219,61.119,58.813
2020-12-16 19:11:20,38.24289199999999,21.73259699999999,61.032,58.896
2020-12-16 19:11:21,38.24286750000001,21.732578199999995,60.948,59.00899999999999
2020-12-16 19:11:22,38.2428271,21.732558299999997,60.861000000000004,59.06100000000001
2020-12-16 19:11:23,38.242780400000015,21.732529000000003,60.775,59.174
2020-12-16 19:11:24,38.2427517,21.7324996,60.69,59.256
2020-12-16 19:11:25,38.24273040000001,21.732472499999997,60.647,59.343
2020-12-16 19:11:26,38.242707666666654,21.73244666666667,60.56100000000001,59.425
2020-12-16 19:11:27,38.242688500000014,21.732421900000002,60.516999999999996,59.451
2020-12-16 19:11:28,38.24267169999999,21.7323952,60.433,59.534
2020-12-16 19:11:29,38.242649,21.732369666666656,60.346000000000004,59.61600000000001
2020-12-16 19:11:30,38.242628499999995,21.732348100000003,60.26,59.699
2020-12-16 19:11:31,38.242610200000016,21.73232749999999,60.217,59.755
2020-12-16 19:11:32,38.242586300000006,21.732308300000014,60.132,59.836999999999996
2020-12-16 19:11:33,38.24256700000001,21.732274666666672,60.089,59.923
2020-12-16 19:11:34,38.2425481,21.732240500000003,60.003,59.975
2020-12-16 19:11:35,38.24252400000001,21.732215333333333,59.958999999999996,60.06100000000001
2020-12-16 19:11:36,38.242501100000005,21.73219249999999,59.916000000000004,60.147
2020-12-16 19:11:37,38.242479,21.732167500000006,59.83,60.199
2020-12-16 19:11:38,38.242458333333346,21.732140666666663,59.788000000000004,60.315
2020-12-16 19:11:39,38.24243899999998,21.73211299999999,59.745,60.43
2020-12-16 19:11:40,38.242419,21.732083333333346,59.659,60.512
2020-12-16 19:11:41,38.24239466666666,21.732049,59.61600000000001,60.628
2020-12-16 19:11:42,38.24237110000002,21.732018299999996,59.571999999999996,60.743
2020-12-16 19:11:43,38.242347333333335,21.73198866666667,59.486000000000004,60.854
2020-12-16 19:11:44,38.24232400000001,21.731961666666663,59.445,60.97
2020-12-16 19:11:45,38.24230266666665,21.731939000000008,59.401,61.055
2020-12-16 19:11:46,38.24228750000002,21.73192099999999,59.358000000000004,61.17
2020-12-16 19:11:47,38.242271900000006,21.731897999999987,59.315,61.256
2020-12-16 19:11:48,38.24225489999999,21.731869799999995,59.272,61.371
